Disease,Hospital
Fungal Infection,Sn Healthcare - Avadi - 7947438281
Allergy, Dr. Jackin Moses (Lungs Speciality Clinic) - Virugambakkam - 8045783073
GERD,Chennai Gastro Care - Hernia Hospital in Chennai - Alwarpet - 9940024638
Chronic cholestasis,Chennai Liver Foundation - Korattur - 9500176660
Drug Reaction,Annanagar Allergy & Asthma Clinic - Anna Nagar West - 7299975266
Peptic ulcer disease,Avuva Alternative Medicine - Mogappair East -  7947084455
AIDS,Guna Sekaran Hospital Pvt Ltd - T Nagar - 7942687367
Diabetes ,Amee Family Clinic - Choolaimedu - 8045792450
Gastroenteritis,Millennium Gastro Surgery Clinic - Saidapet - 7947266023
Bronchial Asthma,Sri Raghavendra Hospital - Tondiarpet - 7942692423
Hypertension ,Avuva Alternative Medicine - Mogappair East -  7947084455
Migraine,Neuro Life Hospital - Maduravoyal - 8045783932
Cervical spondylosis,Soundarapandian Bone and Joint Hospitals - Anna Nagar - 7947225764
Paralysis (brain hemorrhage),Dhanvanthri Clinic - Saligramam - 7947446302
Jaundice,Akshanya Speciality Clinic - Velacheri- 7947084436
Malaria,Sri Vaari Multispeciality Clinic - Tondiarpet - 7947139116
Chicken pox,Dr. S. Hemalatha (Chutti Clinic) - Virugambakkam - 7947428104
Dengue,Britto Clinic - Ponniammanmedu - 7598852080
Typhoid,Britto Clinic - Ponniammanmedu - 7598852080
hepatitis A,Dr. Satish Devakumar(Goals Clinic)  - Velachery - 04448132961
Hepatitis B,Chennai Liver Foundation - Korattur - 9500176660
Hepatitis C,Chennai Liver Foundation - Korattur - 9500176660
Hepatitis D,Chennai Liver Foundation - Korattur - 9500176660
Hepatitis E,Chennai Liver Foundation - Korattur - 9500176660
Alcoholic hepatitis,Chennai Liver Foundation - Korattur - 9500176660
Tuberculosis,Akshanya Speciality Clinic - Velacheri- 7947084436
Common Cold,Dr . Kumaran Amaresan - Ayanavaram - 7947191767
Pneumonia,Amee Family Clinic - Choolaimedu - 8045792450
Dimorphic hemmorhoids(piles),Ayush Piles & Fistula Clinic - Villivakkam - 7947185858
Heart attack,Promed Hospital - Kottivakkam - 7947171063
Varicose veins,Visa Medicure Foot & Ankle Specialists - T Nagar - 7947111049
Hypothyroidism,Annai Health Centre - Tirumullaivayal - 7942696696
Hyperthyroidism,Dr Shanmugasundar's Magna Clinic - Ashok Nagar - 9380199199
Hypoglycemia,MIOT International - Manapakkam - 04442002288
Osteoarthristis,Regen Arthiritis Clinic - Adyar - 9884488288
Arthritis,Regen Arthiritis Clinic - Adyar - 9884488288
(vertigo) Paroymsal  Positional Vertigo,Specialized Vertigo Clinic & ENT Centre - Mandavelipakkam - 9564812357
Acne,Olivia Skin and Hair Clinic - Adyar - 8123742066
Urinary tract infection,Dr Dr.Kamaraj - Anna Nagar - 7947060279
Psoriasis,Skin Hair Nail Clinic - Old Washermanpet - 8045781849
Impetigo,Vasavi Skin and Hair Clinic - Apollo Spectra Hospitals - Mrc Nagar - 8569432172
