Disease ,Hospital
Fungal Infection," Dr . Swethas Skin Cosemetology & Surgical Gastro Centre , R.R.Colony"
Allergy,"Premananda Allergy & Chest Hospital, Tilak Road"
GERD,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Chronic cholestasis,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Drug Reaction,"Sri Jagannadh Allergy & Chest Hospital , R.R.Colony"
Peptic ulcer disease,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
AIDS,"Yenu Gonda Hospital, Ashok Nagar"
Diabetes ,"Dr. Mohan's Diabetes Specialities Center , Jayashankar Nagar"
Gastroenteritis,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Bronchial Asthma,"Premananda Allergy & Chest Hospital, Tilak Road"
Hypertension ,"Sree Charith Hospitals, R.R.Colony"
Migraine,Revanth Neuro Care - R.R.Colony
Cervical spondylosis,Raamineni  Hospitals - R.R.Colony
Paralysis (brain hemorrhage),Pranavi Superspeciality Clinics - Bairagi Patteda
Jaundice,"Satish Gastro Liver Pancreas & Maternity Clinic , R.R.Colony"
Malaria,Skanda Hospitals - Mr Palli Circle
Chicken pox,"Dr. Care Homeopathy, Ashok Nagar"
Dengue,"Sevenhills Hospital, Tuda Office Rd"
Typhoid,"S V S Hospitals , R.R.Colony"
hepatitis A,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Hepatitis B,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Hepatitis C,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Hepatitis D,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Hepatitis E,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Alcoholic hepatitis,"Sri Vishnu Gastro and Liver Care,R.R.Colony"
Tuberculosis,"Srinidhi Allergy & Chest Hospital,Beside V.V.Mahal Theatre"
Common Cold,"Medigo Hospital, Karakambadi Road"
Pneumonia,"Srinidhi Allergy & Chest Hospital,Beside V.V.Mahal Theatre"
Dimorphic hemmorhoids(piles),"Dhanwantari Ano Rectal Hospital , Giripuam"
Heart attack,"Uv Cardiac Care Hospital , R.R.Colony"
Varicose veins,"Avis Vascular Center , Ankura Hospitals"
Hypothyroidism,"Sree Charith Hospitals, R.R.Colony"
Hyperthyroidism,"Sree Charith Hospitals, R.R.Colony"
Hypoglycemia,"Dr. Mohan's Diabetes Specialities Center , Jayashankar Nagar"
Osteoarthristis,Raamineni  Hospitals - R.R.Colony
Arthritis,Raamineni  Hospitals - R.R.Colony
(vertigo) Paroymsal  Positional Vertigo,"Ganta Neuro Hospital , R.R.Colony"
Acne,"Dr . Yugandar Skin and Hair Laser Clinic, R.R.Colony"
Urinary tract infection,"Rajesh Kidney Center , R.R.Colony"
Psoriasis,"Surya Skin Hair & Laser Clinic , KT Road"
Impetigo,"Surya Skin Hair & Laser Clinic , KT Road"
