Disease ,Hospital
Fungal Infection,Dr.Ravi advanced clinc- Doddakannalli- 094836 89999
Allergy,allergy and asthma clinic-MC Layout-080 2310 4444
GERD,global chirag hospital-J. P. Nagar- 080 4568 7999
Chronic cholestasis,Arka anugraha hospital-J.P.Nagar- 090197 04252
Drug Reaction,Manipal hospital-Ramagondanahalli- 1800 102 4647
Peptic ulcer disease,Dr.santhosh gastro and liver centre-Panathur- 097311 55033
AIDS,YRG care bangalore-Chickpet-  096325 73643
Diabetes ,Dr.Mohan diabetes specialities centre-whitefield- 078258 88705
Gastroenteritis,Dr.santhosh gastro and liver centre-Panathur- 097311 55033
Bronchial Asthma,fortis hospital-Cunningham Rd- 096868 60310
Hypertension ,Dr.hareesh Hypertension care-Kundalahalli- 098452 33086
Migraine,docube health care-Koramangala- 080 4757 1582
Cervical spondylosis,Manipal hospital-white field- 1800 102 4647
Paralysis (brain hemorrhage),Nikisa stroke and paralysis rehabilitation Hospital
Jaundice,House of medicine for jaundice and Hbsag-Cottonpete-097406 14329
Malaria,Fortis richmond hospital- Richmond Town-088844 81414
Chicken pox,Manipal hospital-Ramagondanahalli- 1800 102 4647
Dengue,Phonenix hospital-HSR layout-076194 00999
Typhoid,MM International health clinic-Domlur- 080950 03000
hepatitis A,Dr.ks.prasanna bhat best hepatatis-Jayanagar-093801 06912
Hepatitis B,Dr.ks.prasanna bhat best hepatatis-Jayanagar-093801 06912
Hepatitis C,Dr.ks.prasanna bhat best hepatatis-Jayanagar-093801 06912
Hepatitis D,Dr.ks.prasanna bhat best hepatatis-Jayanagar-093801 06912
Hepatitis E,Dr.ks.prasanna bhat best hepatatis-Jayanagar-093801 06912
Alcoholic hepatitis,Dr.Satyaprakash and HPB surgeon-Bannerghatta Main Rd-080 2314 3216
Tuberculosis,sds tuberculosis research center-NIMHANS- 080 2608 8500
Common Cold,Apollo Medical centre-Mrathahalli- 1860 500 7788
Pneumonia,fortis hospital-Cunningham Rd- 096868 60310
Dimorphic hemmorhoids(piles),Mampi ples clinic -kammanahali-091484 92839
Heart attack,Manipal heart care-kodihalli-1800 3001 4000
Varicose veins,Dr.vasu vascular center-Rajajinagar-080 4112 4750
Hypothyroidism,Manipal hospital-white field- 1800 102 4647
Hyperthyroidism,Re life hospital-Banashankari-096060 21671
Hypoglycemia,Dr.Mohan diabetes specialities centre-whitefield- 078258 88705
Osteoarthristis,Divisha arthritis and Medical center-Basaveshwar Nagar- 099167 70444
Arthritis,Divisha arthritis and Medical center-Basaveshwar Nagar- 099167 70445
(vertigo) Paroymsal  Positional Vertigo,The vertigo clinic -J.P.Nagar- 086183 05901
Acne,Dr.Ravi skin clinc- Doddakannalli- 094836 89999
Urinary tract infection,Urology Hospital-Jayanagar- 098804 47747
Psoriasis,docube health care-Koramangala- 080 4757 1582
Impetigo,Manipal hospital care-kodihalli-1800 102 4647
